OTUs,P-Value
OTU00589,0.028015401
OTU06543,0.028000537
OTU01848,0.083165819
OTU03408,0.025345469
OTU01374,0.014014178
OTU04145,0.0108786
OTU02457,0.027305773
OTU03373,0.012775179
OTU03396,0.029332877
OTU02625,0.010439675
OTU00424,0.013732822
OTU03683,0.028984043
OTU03862,0.006503468
OTU01356,0.029969876
OTU01453,0.008383257
OTU02456,0.020417589
OTU02858,0.029449814
OTU01173,0.119647719
OTU00947,0.019202139
OTU03024,0.024115968
OTU01575,0.018325519
OTU02009,0.219112325
OTU06221,0.407398761
OTU00580,0.072778022
OTU01700,0.012096416
OTU01345,0.048727351
OTU00868,0.02369462
OTU05457,0.031770373
OTU00080,0.088557391
OTU02869,0.144020497
OTU01339,0.138000802
OTU02925,0.017458057
OTU02318,0.145201576
OTU01399,0.074723201
OTU00657,0.015971347
OTU03768,0.015068677
OTU02508,0.018591075
OTU01719,0.038271472
OTU02331,0.010770861
OTU04119,0.009581643
OTU03097,0.126712628
OTU04258,0.026380043
OTU01183,0.031687119
OTU02702,0.009034017
OTU03204,0.259936753
OTU00845,0.01923056
OTU04791,0.039206045
OTU03806,0.026527045
OTU04326,0.00905305
OTU02528,0.061990308
OTU06861,0.026702432
OTU01523,0.077788374
OTU01110,0.779076328
OTU03434,0.000307215
OTU02750,0.024682526
OTU01502,0.052475559
OTU02495,0.080601122
OTU06892,0.030269466
OTU03118,0.090749183
OTU00854,0.029679798
OTU04517,0.006155349
OTU02856,0.032568168
OTU02815,0.174613613
OTU03149,0.056630427
OTU04256,0.019598203
OTU00414,0.023822476
OTU02988,0.254689316
OTU02483,0.052318383
OTU02235,0.020313739
OTU01734,0.137750484
OTU02557,0.129499185
OTU03402,0.158814207
OTU00994,0.238915016
OTU06166,0.143857344
OTU03341,0.263559425
OTU03642,0.275571518
OTU03968,0.022777568
OTU03303,0.299998734
OTU02809,0.378356615
OTU02196,0.164680237
OTU03664,0.41407825
OTU00881,0.403228187
OTU04856,0.233704311
OTU00636,0.090382018
OTU01031,0.048806859
OTU03250,0.056621123
OTU00685,0.021486304
OTU05486,0.007436042
OTU06516,0.047379109
OTU05082,#N/A
OTU02647,0.044942952
OTU04166,0.019370047
OTU06590,0.044269544
OTU01317,0.012969062
OTU01227,0.110277228
OTU00687,0.198583267
OTU02926,0.217243809
OTU06225,0.752668487
OTU00294,0.021119067
OTU02536,0.09676039
OTU01748,0.052747226
OTU01114,0.157392873
OTU01435,0.044401902
OTU00942,0.083426097
OTU00929,0.085733403
OTU02008,0.005703254
OTU05078,0.429518903
OTU01867,0.007492534
OTU02983,0.017925294
OTU02083,0.091172307
OTU06331,0.005831854
OTU03644,0.03683038
OTU01178,0.106373546
OTU01191,0.208664194
OTU04904,0.008307704
OTU03382,0.007480894
OTU02863,0.034604484
OTU01754,0.255406656
OTU07027,0.01669502
OTU01444,0.235256146
OTU01190,0.08551302
OTU01373,0.060037971
OTU06893,0.365267126
OTU02679,0.026051683
OTU02624,0.066045333
OTU04621,0.091516091
OTU06099,0.058530586
OTU00223,0.076678893
OTU02630,0.191475875
OTU05198,0.262102771
OTU05240,0.05206603
OTU00758,0.009235319
OTU03556,0.01217912
OTU06270,0.041121653
OTU00205,0.005619375
OTU02775,0.128723996
OTU00461,0.08827
OTU06283,0.077093952
OTU04877,0.04228896
OTU00061,0.066029231
OTU00512,0.002164924
OTU03647,0.255142015
OTU02542,0.027589659
OTU02518,0.452522892
OTU00958,0.027297192
OTU03335,0.015698639
OTU00896,0.071707036
OTU03405,0.146817664
OTU01964,0.013960771
OTU02334,0.204716609
OTU00337,0.012340649
OTU00423,0.011972192
OTU05297,0.130056933
OTU05703,0.054840538
OTU06164,0.160080838
OTU03524,0.003572401
OTU00869,0.183443756
OTU01809,0.049170698
OTU03415,0.193014756
OTU05690,0.050807344
OTU01342,0.000323388
OTU03658,0.806636297
OTU05844,0.007118309
OTU06825,0.046270292
OTU01357,0.877122926
OTU00859,0.006343867
OTU02355,0.096822841
OTU03573,0.065836038
OTU06558,0.02024043
OTU02397,0.01879377
OTU00738,0.222869363
OTU04161,0.118442237
OTU01375,0.259845918
OTU04049,0.295136239
OTU00814,0.015710051
OTU01559,0.055267427
OTU01540,0.163363163
OTU01676,0.030847763
OTU00697,0.068087811
OTU00457,0.158147063
OTU03583,0.224221959
OTU02867,0.072293343
OTU05622,0.021925205
OTU02944,0.612025337
OTU01939,0.180698022
OTU02199,0.086635298
OTU03317,0.242003949
OTU06594,0.023035567
OTU00301,0.001028874
OTU01977,0.143464102
OTU04471,0.022643601
OTU00731,0.170092083
OTU03780,0.108936945
OTU05204,0.790197465
OTU05145,0.414217269
OTU02029,0.006270256
OTU03377,0.036635157
OTU00749,0.007462484
OTU04819,0.021993341
OTU02511,0.553216072
